username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-11-16 17:44;0;0;"Willett stopped tweeting when Trump nominated him for the spot in September... but will it last? https:// twitter.com/ToddRuger/stat us/931256980055961602 …";;;;"931291792758181889";https://twitter.com/CQnow/status/931291792758181889
;2017-11-16 17:44;0;0;"Die Medien bleiben weiter als 4te Gewalt Antriebsmotor für linksliberalen Islamischen Globalismus. Sie picken sich Trump , Polen, Putin, Orban als die Bösen raus, überhöhen da jede Meldung und wenn ihre Islamlieblinge Brüssel klein schlagen, nur leises Säuseln.";;;;"931291792720388096";https://twitter.com/merdeux_/status/931291792720388096
;2017-11-16 17:44;0;0;"Trump , Agent Orange and just as destructive.";;;;"931291792661762048";https://twitter.com/Paul59690833/status/931291792661762048
;2017-11-16 17:44;0;0;"I don’t remember any Franken like apology from Trump . I do remember Trump ’s actions being excused as “locker room humor” and he called women who accused him of sexual assault liars while Republicans just buried their heads in the sand.";;;;"931291792418357249";https://twitter.com/ERahmanPhoto/status/931291792418357249
;2017-11-16 17:44;0;0;"Ok. I will make it really easy for you trumptarts to get. See the numbers? They tell you the percentage of real trump followers they are and how manyb are fake. pic.twitter.com/Oz6u6oZdNf";;;;"931291790585470977";https://twitter.com/noblatandlies/status/931291790585470977
;2017-11-16 17:43;0;0;"Trump wants his sons to be able to keep their trophies when they shoot big game. Sad. But what's a dad to do? Typical of Trump 's selfish, short term thinking https:// twitter.com/KristenRatan/s tatus/931011123108757504 …";;;;"931291785518751744";https://twitter.com/MaureenCKelly/status/931291785518751744
;2017-11-16 17:43;0;0;"We #NeedtoImpeach @RealDonaldTrump . Join me and sign on to @TomSteyer ’s petition demanding Congress impeach Trump . http:// action.needtoimpeach.com/stop-trumps-ta x-scheme?sc=tws …";;@RealDonaldTrump @TomSteyer;#NeedtoImpeach;"931291785313308677";https://twitter.com/DanDpvone/status/931291785313308677
;2017-11-16 17:43;0;0;"Good job Trump";;;;"931291784306659328";https://twitter.com/ElshazlySoliman/status/931291784306659328
;2017-11-16 17:43;0;0;"CNN &#8216;Journalist&#8217;, Joe Scarborough, Coming Unhinged — Continues to Push FAKE NEWS Against President Trump : https:// en-volve.com/2017/11/16/cnn -journalist-joe-scarborough-coming-unhinged-continues-to-push-fake-news-against-president-trump/ …";;;#8216 #8217;"931291783547453440";https://twitter.com/AprilTa7589876/status/931291783547453440
;2017-11-16 17:43;0;0;"What violence are you referring to? Are you serious? The real Trump will be revealed I n the investigation. He’s the liar I n chief.";;;;"931291781161013248";https://twitter.com/MTSmazz/status/931291781161013248
;2017-11-16 17:43;0;0;"“I did try & fuck her. She was married. I moved on her like a bitch. But I couldn’t get there. I just start kissing them. I don’t even wait. And when you’re a star they let you do it. You can do anything—grab them by the pussy. You can do anything.” Donald Trump";;;;"931291780909289472";https://twitter.com/Heather09059548/status/931291780909289472
